,Outlet_ID,area(sqft),tot_impulse_itm,tot_icecream_vol,tot_revnew
494,ID1365,1291,39285,11171.0,7603540.0
851,ID1429,2854,25391,11430.2,9571970.0
292,ID1485,4535,44778,24490.6,21663150.0
593,ID1543,7431,42122,21142.4,18341640.0
877,ID1750,1093,27082,15156.400000000001,13525100.0
615,ID2074,6190,71200,26438.0,20631800.0
445,ID2077,4641,45009,20019.800000000003,16728200.0
525,ID2170,6169,38603,22870.6,20714290.0
866,ID2819,1899,67224,16864.800000000003,10527440.0
698,ID3127,4540,67432,23105.4,17331370.0
415,ID3549,4292,43385,21041.0,17959500.0
357,ID3741,6768,25371,15057.2,13631640.0
44,ID3946,5044,82968,26056.600000000002,18810070.0
674,ID3985,6440,71627,25796.4,19978090.0
444,ID4003,2990,35006,10233.2,7063010.0
731,ID4015,6027,85510,40760.0,34775130.0
811,ID4520,2141,21611,13889.2,12724280.0
884,ID5563,2985,46791,12297.2,7908030.0
872,ID5913,3673,68529,25037.800000000003,19424170.0
564,ID6214,4052,66045,22352.0,16672100.0
256,ID6574,4980,39635,22069.0,19631190.0
152,ID6628,4727,73958,22480.6,16113850.0
749,ID6708,5992,61823,22231.6,17045900.0
974,ID7029,3616,69315,24981.0,19290810.0
656,ID7358,5024,71489,26210.800000000003,20341880.0
967,ID7422,2021,44092,11702.4,7621840.0
857,ID7799,1712,64013,23857.6,18692500.0
829,ID7948,2832,66336,25028.2,19735490.0
846,ID8229,2319,66202,24439.4,19104500.0
320,ID8278,3600,0,9466.0,10529650.0
722,ID8564,6145,38822,20059.4,17592030.0
406,ID8631,3196,34647,10495.400000000001,7413370.0
563,ID9465,6650,48377,21924.4,18376170.0
601,ID9541,5468,62790,25275.0,20369970.0
359,ID9672,7165,52240,26425.0,22981250.0
916,ID9841,2179,25835,11691.0,9817490.0
680,ID9980,7527,37459,18727.8,16198010.0
